,price,sqft_living,sqft_lot,floors,waterfront,view,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,sqft_living15,sqft_lot15,grade_4,grade_5,grade_6,grade_7,grade_8,grade_9,grade_10,grade_11,grade_12,bath_0.75,bath_1.0,bath_1.25,bath_1.5,bath_1.75,bath_2.0,bath_2.25,bath_2.5,bath_2.75,bath_3.0,bath_3.25,bath_3.5,cond_2,cond_3,cond_4,cond_5,bed_2,bed_3,bed_4,bed_5,bed_6,bed_7,bed_8,bed_9,bed_10,bed_11
0,221900.0,1180,5650,1.0,0.0,0.0,1180,0.0,1955,0.0,98178,1340,5650,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5,257500.0,1715,6819,2.0,0.0,0.0,1715,0.0,1995,0.0,98003,2238,6819,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
6,291850.0,1060,9711,1.0,0.0,0.0,1060,0.0,1963,0.0,98198,1650,9711,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
7,229500.0,1780,7470,1.0,0.0,0.0,1050,730.0,1960,0.0,98146,1780,8113,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
18,230000.0,1250,9774,1.0,0.0,0.0,1250,0.0,1969,0.0,98003,1280,8850,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
20,285000.0,2270,6300,2.0,0.0,0.0,2270,0.0,1995,0.0,98092,2240,7005,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
21,252700.0,1070,9643,1.0,0.0,0.0,1070,0.0,1985,0.0,98030,1220,8386,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
23,233000.0,1710,4697,1.5,0.0,0.0,1710,0.0,1941,0.0,98002,1030,4705,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
29,280000.0,1190,1265,3.0,0.0,0.0,1190,0.0,2005,0.0,98133,1390,1756,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
36,240000.0,1220,8075,1.0,0.0,0.0,890,330.0,1969,0.0,98001,1290,7800,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
42,309000.0,1280,9656,1.0,0.0,0.0,920,360.0,1959,0.0,98058,1340,8808,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
44,210490.0,990,8528,1.0,0.0,0.0,990,0.0,1966,0.0,98023,1228,8840,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
47,228000.0,1190,9199,1.0,0.0,0.0,1190,0.0,1955,0.0,98148,1190,9364,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
53,292500.0,2250,4495,2.0,0.0,0.0,2250,0.0,2008,0.0,98042,2250,4500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
54,301000.0,2420,4750,2.0,0.0,0.0,2420,0.0,2003,0.0,98042,2690,4750,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
58,289000.0,1260,8400,1.0,0.0,0.0,1260,0.0,1954,0.0,98148,1290,8750,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
64,287000.0,2240,4648,2.0,0.0,0.0,2240,0.0,2005,0.0,98001,2221,4557,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
65,204000.0,1000,12070,1.0,0.0,0.0,1000,0.0,1968,0.0,98042,1010,12635,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
79,315000.0,960,6634,1.0,0.0,0.0,960,0.0,1952,0.0,98125,1570,7203,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
81,305000.0,2660,8400,1.5,0.0,0.0,2660,0.0,1961,0.0,98092,1590,8165,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
83,215000.0,1610,2040,2.0,0.0,0.0,1610,0.0,1979,0.0,98056,1950,2025,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
85,243500.0,1980,7403,2.0,0.0,0.0,1980,0.0,1988,0.0,98023,1980,7510,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
91,247500.0,1960,15681,1.0,0.0,0.0,1960,0.0,1967,0.0,98032,1750,15616,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
92,199000.0,1160,6400,1.0,0.0,0.0,1160,0.0,1975,0.0,98023,1160,6400,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
93,314000.0,1810,41800,1.0,0.0,0.0,1210,600.0,1980,0.0,98038,1650,135036,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
99,290000.0,1210,33919,1.0,0.0,0.0,1210,0.0,1954,0.0,98058,1640,14910,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
102,188500.0,1240,2493,1.0,0.0,0.0,1240,0.0,1985,0.0,98198,1270,4966,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
107,272500.0,1540,12600,1.0,0.0,0.0,1160,0.0,1980,0.0,98038,1540,11656,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
112,205425.0,880,6780,1.0,0.0,0.0,880,0.0,1945,0.0,98178,1190,6780,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
113,171800.0,1570,9600,1.0,0.0,0.0,1570,0.0,1950,0.0,98168,1880,9000,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
121,260000.0,2160,8811,1.0,0.0,0.0,1360,800.0,1978,0.0,98023,2090,8400,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
124,212000.0,1060,7875,1.0,0.0,0.0,1060,0.0,1986,0.0,98092,1420,7680,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
129,199000.0,1320,17390,1.0,0.0,0.0,1320,0.0,1956,0.0,98003,1550,19265,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
130,220000.0,2020,7840,1.0,0.0,0.0,1010,1010.0,1968,0.0,98003,1750,8140,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
136,205000.0,1610,8579,1.0,0.0,0.0,1010,600.0,1962,0.0,98058,1610,8579,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
142,258000.0,2260,12500,1.0,0.0,0.0,1130,1130.0,1960,0.0,98032,1360,18000,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
146,282950.0,1250,8200,1.0,0.0,0.0,1250,0.0,1954,0.0,98003,1680,8633,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
148,215000.0,1180,7669,1.0,0.0,0.0,1180,0.0,1967,0.0,98058,1190,7669,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
