,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
0,7129300520,10/13/2014,221900.0,3,1.0,1180,5650,1.0,0.0,0.0,3,7,1180,0.0,1955,0.0,98178,47.5112,-122.257,1340,5650
2,5631500400,2/25/2015,180000.0,2,1.0,770,10000,1.0,0.0,0.0,3,6,770,0.0,1933,0.0,98028,47.7379,-122.23299999999999,2720,8062
6,1321400060,6/27/2014,257500.0,3,2.25,1715,6819,2.0,0.0,0.0,3,7,1715,0.0,1995,0.0,98003,47.3097,-122.32700000000001,2238,6819
7,2008000270,1/15/2015,291850.0,3,1.5,1060,9711,1.0,0.0,0.0,3,7,1060,0.0,1963,0.0,98198,47.4095,-122.315,1650,9711
8,2414600126,4/15/2015,229500.0,3,1.0,1780,7470,1.0,0.0,0.0,3,7,1050,730.0,1960,0.0,98146,47.5123,-122.337,1780,8113
9,3793500160,3/12/2015,323000.0,3,2.5,1890,6560,2.0,0.0,0.0,3,7,1890,0.0,2003,0.0,98038,47.3684,-122.031,2390,7570
12,114101516,5/28/2014,310000.0,3,1.0,1430,19901,1.5,0.0,0.0,4,7,1430,0.0,1927,0.0,98028,47.7558,-122.229,1780,12697
13,6054650070,10/7/2014,400000.0,3,1.75,1370,9680,1.0,0.0,0.0,4,7,1370,0.0,1977,0.0,98074,47.6127,-122.045,1370,10208
16,1875500060,7/31/2014,395000.0,3,2.0,1890,14040,2.0,0.0,0.0,3,7,1890,0.0,1994,0.0,98019,47.7277,-121.962,1890,14018
18,16000397,12/5/2014,189000.0,2,1.0,1200,9850,1.0,0.0,0.0,4,7,1200,0.0,1921,0.0,98002,47.3089,-122.21,1060,5095
19,7983200060,4/24/2015,230000.0,3,1.0,1250,9774,1.0,0.0,0.0,4,7,1250,0.0,1969,0.0,98003,47.3343,-122.306,1280,8850
20,6300500875,5/14/2014,385000.0,4,1.75,1620,4980,1.0,0.0,0.0,4,7,860,760.0,1947,0.0,98133,47.7025,-122.34100000000001,1400,4980
22,7137970340,7/3/2014,285000.0,5,2.5,2270,6300,2.0,0.0,0.0,3,8,2270,0.0,1995,0.0,98092,47.3266,-122.169,2240,7005
23,8091400200,5/16/2014,252700.0,2,1.5,1070,9643,1.0,0.0,0.0,3,7,1070,0.0,1985,0.0,98030,47.3533,-122.166,1220,8386
